,precision,recall,f1-score,support
0,0.6323232323232323,0.3669402110199297,0.46439169139465875,853.0
1,0.7378793851005124,0.8349687778768956,0.783427495291902,2242.0
2,0.5395232120451694,0.6379821958456974,0.5846363018354861,674.0
3,0.23387096774193547,0.3741935483870968,0.2878411910669975,155.0
4,0.38571428571428573,0.3403361344537815,0.36160714285714285,476.0
5,0.3142857142857143,0.2,0.24444444444444444,55.0
6,0.5909090909090909,0.25,0.35135135135135137,52.0
7,0.3020833333333333,0.20279720279720279,0.24267782426778242,143.0
accuracy,,,0.6210752688172043,4650.0
macro avg,0.46707365268165923,0.40090225879757546,0.4150471803137207,4650.0
weighted avg,0.6168595370247664,0.6210752688172043,0.6085534307186232,4650.0
