,precision,recall,f1-score,support
0,0.6711798839458414,0.406799531066823,0.5065693430656935,853.0
1,0.7422360248447205,0.8528099910793934,0.7936903279369033,2242.0
2,0.5487053020961775,0.6602373887240356,0.5993265993265994,674.0
3,0.23788546255506607,0.34838709677419355,0.28272251308900526,155.0
4,0.3778337531486146,0.31512605042016806,0.3436426116838488,476.0
5,0.3888888888888889,0.12727272727272726,0.1917808219178082,55.0
6,0.6764705882352942,0.4423076923076923,0.5348837209302325,52.0
7,0.38571428571428573,0.1888111888111888,0.2535211267605634,143.0
accuracy,,,0.6376344086021506,4650.0
macro avg,0.5036142736786111,0.41771895830702777,0.4382671330888318,4650.0
weighted avg,0.6311571178171037,0.6376344086021506,0.623121459210026,4650.0
