,precision,recall,f1-score,support
0,0.6085578446909667,0.4501758499413834,0.5175202156334232,853.0
1,0.7359073359073359,0.8501338090990187,0.7889072847682119,2242.0
2,0.5870165745856354,0.6305637982195845,0.6080114449213162,674.0
3,0.26811594202898553,0.23870967741935484,0.2525597269624573,155.0
4,0.3864168618266979,0.34663865546218486,0.3654485049833887,476.0
5,0.36,0.16363636363636364,0.225,55.0
6,0.6190476190476191,0.5,0.5531914893617021,52.0
7,0.410958904109589,0.2097902097902098,0.2777777777777778,143.0
accuracy,,,0.6412903225806451,4650.0
macro avg,0.4970026352746037,0.42370604544601254,0.44855205555103467,4650.0
weighted avg,0.6238501627136578,0.6412903225806451,0.6266533367705189,4650.0
