,precision,recall,f1-score,support
0,0.6055045871559633,0.38686987104337633,0.4721030042918455,853.0
1,0.7150375939849624,0.848349687778769,0.7760097919216646,2242.0
2,0.5532503457814661,0.5934718100890207,0.572655690765927,674.0
3,0.2874251497005988,0.3096774193548387,0.2981366459627329,155.0
4,0.3664302600472813,0.32563025210084034,0.3448275862068966,476.0
5,0.5,0.09090909090909091,0.15384615384615385,55.0
6,0.7096774193548387,0.4230769230769231,0.5301204819277109,52.0
7,0.3076923076923077,0.1958041958041958,0.23931623931623933,143.0
accuracy,,,0.621505376344086,4650.0
macro avg,0.5056272079646773,0.39672365626963185,0.42337694927989633,4650.0
weighted avg,0.6064248084747487,0.621505376344086,0.6041047072318837,4650.0
